user1_id,user2_id,common_interest,timestamp,avg_lat,avg_lon
1,2,Networking,2024-04-25 23:10:50,39.9512295,-75.19681349999999
1,4,Networking,2024-04-25 22:16:26,39.953723,-75.194109
1,6,Networking,2024-04-25 22:26:52,39.9517805,-75.194667
1,6,Networking,2024-04-25 22:26:08,39.9506595,-75.19445350000001
1,15,Networking,2024-04-25 23:07:19,39.9506035,-75.19725
1,16,Data Science,2024-04-25 22:16:26,39.954217,-75.198737
1,18,Networking,2024-04-25 22:56:59,39.9521995,-75.1967545
1,22,Networking,2024-04-25 22:16:26,39.9522535,-75.198652
1,22,Networking,2024-04-25 22:58:04,39.950862,-75.1961655
1,24,Networking,2024-04-25 23:02:44,39.952561,-75.19458
1,25,Networking,2024-04-25 22:32:50,39.953534,-75.19519249999999
1,26,Networking,2024-04-25 22:35:03,39.951901,-75.19581199999999
1,29,Networking,2024-04-25 22:16:26,39.950903999999994,-75.19635
1,31,Networking,2024-04-25 23:12:32,39.953684499999994,-75.19578849999999
1,32,Data Science,2024-04-25 22:16:26,39.9535955,-75.19361749999999
1,37,Networking,2024-04-25 22:16:26,39.9509015,-75.1967085
1,38,Networking,2024-04-25 22:16:26,39.952498,-75.1959605
1,40,Data Science,2024-04-25 22:16:26,39.9516625,-75.19400999999999
1,2,Networking,2024-04-25 05:53:38,39.954753499999995,-75.194118
1,7,Networking,2024-04-25 05:53:38,39.954358,-75.1923125
1,7,Networking,2024-04-25 05:53:38,39.9548025,-75.19663700000001
1,9,Networking,2024-04-25 06:09:07,39.955643,-75.1924755
1,13,Networking,2024-04-25 05:53:38,39.954473,-75.1972055
1,15,Networking,2024-04-25 05:53:38,39.953025499999995,-75.1957765
1,17,Networking,2024-04-25 05:53:38,39.955501,-75.19784250000001
1,20,Networking,2024-04-25 05:53:38,39.951966,-75.19503499999999
1,20,Networking,2024-04-25 05:53:38,39.954737,-75.1925295
1,24,Networking,2024-04-25 05:53:38,39.952043,-75.1941105
1,26,Networking,2024-04-25 05:53:38,39.9532205,-75.19554
1,26,Networking,2024-04-25 05:53:38,39.9552295,-75.1976415
1,31,Networking,2024-04-25 05:58:49,39.951840000000004,-75.194603
1,31,Networking,2024-04-25 06:13:02,39.9540095,-75.197764
1,33,Networking,2024-04-25 05:53:38,39.9518505,-75.1963705
1,38,Networking,2024-04-25 06:01:41,39.9536115,-75.19814550000001
1,2,Networking,2024-04-25 08:56:29,39.950908,-75.1936145
1,4,Networking,2024-04-25 08:48:42,39.9501825,-75.194951
1,9,Networking,2024-04-25 09:46:01,39.949925,-75.1982355
1,11,Networking,2024-04-25 08:48:42,39.9510035,-75.1934425
